날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-07-25,243,23,20.9,26.5
2020-07-25,244,21.8,19.5,25.8
2020-07-25,245,21.9,20.6,24.9
2020-07-25,247,22.3,19.8,26.1
2020-07-25,212,22.1,19.2,26
2020-07-25,216,18.5,17.3,19.9
2020-07-25,217,21.6,19,25.3
2020-07-25,221,22.5,19.5,26.5
2020-07-25,226,21.5,19.6,25.1
2020-07-25,232,22.5,20,26.9
2020-07-25,235,23.7,20.3,28.4
2020-07-25,185,22.7,20.8,27.1
2020-07-25,188,23.4,20.4,28.7
2020-07-25,189,21.5,20,25.1
2020-07-25,192,21.6,19.8,24.5
2020-07-25,201,24.3,22.2,28.5
2020-07-25,202,24.3,21.5,27.2
2020-07-25,203,23.6,20.3,28.3
2020-07-25,211,21,19.3,24.1
2020-07-25,168,21.6,20.7,23.4
2020-07-25,169,21.2,19,24.7
2020-07-25,170,22.7,19.8,25.9
2020-07-25,172,21.9,20.6,25.2
2020-07-25,174,22.4,20.2,25.7
2020-07-25,177,23.8,20.3,28.3
2020-07-25,184,23.7,21.2,26.6
2020-07-25,146,23.2,20.7,26.9
2020-07-25,152,22,20.5,25.5
2020-07-25,155,21.7,19.9,24.2
2020-07-25,156,22,20.2,24.3
2020-07-26,159,23.9,20.2,27.1
2020-07-26,162,23.4,20.4,27
2020-07-26,165,22.8,19.8,26.3
2020-07-26,133,24,22,27.4
2020-07-26,135,21.8,20.2,25.8
2020-07-26,136,22.3,20.4,27.3
2020-07-26,137,22.7,20.8,27.2
2020-07-26,138,22.7,21.3,25
2020-07-26,140,23,21.4,26.1
2020-07-26,143,25,21.3,30.2
2020-07-26,115,21.4,20.8,22.8
2020-07-26,119,25,22.5,29.2
2020-07-26,121,23.4,19.4,28.2
2020-07-26,127,22.7,20.3,27.8
2020-07-26,129,23.5,20.7,26.5
2020-07-26,130,20.6,19.5,24.1
2020-07-26,131,24.3,21.2,28.2
2020-07-26,102,22.2,19.1,26.3
2020-07-26,104,20.4,18.7,23.5
2020-07-26,105,21.2,19.6,24.4
2020-07-26,106,20.1,18.7,22.1
2020-07-26,108,25.4,21.6,29.6
2020-07-26,112,24.2,21.5,27.9
2020-07-26,114,24.3,20.5,29.1
2020-07-26,90,20.5,18.9,23.2
2020-07-26,93,24,19.5,29.6
2020-07-26,95,22.8,19.8,27
2020-07-26,98,24,20.9,27.7
2020-07-26,99,23.4,19.2,28.4
2020-07-26,100,18.5,16.2,23.5
2020-07-26,101,24.3,20.4,29.5
2020-07-26,289,23.6,20.7,28.4
2020-07-26,294,23.6,20.5,27.9
2020-07-26,295,23.2,19.4,28.2
2020-07-26,278,23.4,20.9,29.4
2020-07-26,279,23.5,21.3,28.5
2020-07-26,281,23.6,20.6,29.4
2020-07-26,283,24,20.7,30.3
2020-07-26,284,22.5,20.2,27.5
2020-07-26,285,24.3,21,29.5
2020-07-26,288,25.1,21.4,30
2020-07-26,266,23.8,19.8,29.2
2020-07-26,268,21.3,18,27.4
2020-07-26,271,20.8,19,23.1
2020-07-26,272,21.7,20.3,24.3
2020-07-26,273,22,20.4,25.7
2020-07-26,276,21.9,19.5,27.8
2020-07-26,277,21,19.8,24.6
2020-07-26,258,23.6,20.4,27.7
2020-07-26,259,22.8,19.2,28.1
2020-07-26,260,22.1,18.5,27.7
2020-07-26,261,22.3,17.2,27.7
2020-07-26,262,22.3,17.9,28
2020-07-26,263,24.6,21.4,30.7
2020-07-26,264,23.1,20.5,28
2020-07-26,248,22.3,20,26.6
2020-07-26,251,23,20.6,27.6
2020-07-26,252,22.7,20.4,27.4
2020-07-26,253,24,19.8,29
2020-07-26,254,23.3,20.3,28.2
2020-07-26,255,26.1,22,30.9
2020-07-26,257,24.8,20,29.9
2020-07-26,236,23.2,21.2,26.4
2020-07-26,238,23,21.1,26.9
2020-07-26,239,23.6,21.2,28.1
2020-07-26,243,23,21.2,26.8
2020-07-26,244,22.7,19.9,27.7
2020-07-26,245,22.9,20.6,27.9
2020-07-26,247,23.8,21,29.4
2020-07-26,212,23.5,19,29.5
2020-07-26,216,19,17.6,22.2
2020-07-26,217,22.3,17.8,28.3
2020-07-26,221,22.9,19.3,26.8
2020-07-26,226,22.5,20.6,25.3
2020-07-26,232,23.1,20.1,26.7
2020-07-26,235,22.3,21,24.7
2020-07-26,188,23.2,18.2,28.3
2020-07-26,189,23.5,19.2,26.5
2020-07-26,192,23.7,20.2,28.8
2020-07-26,201,23.7,21.1,28.7
2020-07-26,202,24.9,20.9,30
2020-07-26,203,24.3,20.8,29.2
2020-07-26,211,22.5,19.4,28.6
2020-07-26,168,22.9,20.1,26.2
2020-07-26,169,20.4,17.8,24.9
2020-07-26,170,22.3,18.5,27.7
2020-07-26,172,22.8,20.5,28
2020-07-26,174,22.8,19.5,28.3
2020-07-26,177,23.3,21.1,25.4
2020-07-26,184,23.4,20.7,25.5
2020-07-26,185,23,19.5,26.2
2020-07-26,146,23.6,21.6,28.8
2020-07-26,152,24.1,20.2,28.3
2020-07-26,155,23.8,20.3,27.9
2020-07-26,156,23.3,19.6,28.4
2020-07-27,289,21.8,19.6,24.7
2020-07-27,294,22.4,21.5,23.8
2020-07-27,295,21.9,20.2,23.3
2020-07-27,278,22.7,20.3,26.2
2020-07-27,279,22.9,21.2,25.4
2020-07-27,281,21.7,20.6,24
2020-07-27,283,21.7,20.9,24.1
2020-07-27,284,22,19.8,25.2
2020-07-27,285,22.3,20.2,25.1
2020-07-27,288,22.9,21.3,27
2020-07-27,266,22.4,20.6,25.6
2020-07-27,268,22.7,19.5,26.1
2020-07-27,271,20.8,18.5,24.1
2020-07-27,272,22,20.2,24.9
2020-07-27,273,22.5,20.9,25.2
2020-07-27,276,21.2,19,25.6
2020-07-27,277,20.6,19.7,23
2020-07-27,258,23.2,21.3,26.4
2020-07-27,259,22.6,20.1,26.1
2020-07-27,260,22.4,19.7,25.8
2020-07-27,261,22.9,19.9,26.6
2020-07-27,262,22.3,19.7,25.4
2020-07-27,263,23,20.8,26
2020-07-27,264,22.4,19.9,25.6
2020-07-27,248,21.6,19,25.1
2020-07-27,251,23.2,20.6,26.9
2020-07-27,252,22.7,20.7,27
2020-07-27,253,23.3,21.9,26.5
2020-07-27,254,23,20.5,27.2
2020-07-27,255,24.8,23.4,28
2020-07-27,257,23.6,22,27
2020-07-27,236,23.4,20.8,27.2
2020-07-27,238,23.4,21.3,26.8
2020-07-27,239,23.7,21.6,27.3
2020-07-27,243,23.5,21.2,26.2
2020-07-27,244,22,20,25.2
2020-07-27,245,23,20.6,26.3
2020-07-27,247,23.1,20.6,26.4
2020-07-27,212,22.6,20.5,25
2020-07-27,216,18.6,17.8,21.7
2020-07-27,217,21.7,19.5,26.5
2020-07-27,221,22.7,20.3,26
2020-07-27,226,22.8,20.6,25.9
2020-07-27,232,23.6,21.4,26.7
2020-07-27,235,23.5,21.2,26.7
2020-07-27,188,24.3,23,25.8
2020-07-27,189,24.1,22.9,25.1
2020-07-27,192,22,19.7,25.2
2020-07-27,201,22.8,21,24.4
2020-07-27,202,24,21.9,26.3
2020-07-27,203,24.3,22,26.7
2020-07-27,211,21.2,20.1,22.9
2020-07-27,169,20.4,18.5,23
2020-07-27,170,22.3,20,24.9
2020-07-27,172,23.1,20.8,27.2
2020-07-27,174,21.7,19,25.7
2020-07-27,177,24.1,21.6,26.5
2020-07-27,184,24.8,22.6,27.9
2020-07-27,185,23.8,21.8,25.9
2020-07-27,146,23.9,21.5,28
2020-07-27,152,22.6,21.3,25
2020-07-27,155,23.1,22,25.6
2020-07-27,156,23.2,20.9,27.2
2020-07-27,159,22.6,21.5,24.7
2020-07-27,162,23.5,22.1,26.3
2020-07-27,165,23,21.3,25.9
2020-07-27,168,22.7,22,23.9
2020-07-27,133,24.4,22.3,27.2
2020-07-27,135,21.9,19.6,24.5
2020-07-27,136,22.1,19.8,24.8
2020-07-27,137,22.7,21.1,25.6
2020-07-27,138,21.8,21,23.1
2020-07-27,140,23.4,21.2,26.9
2020-07-27,143,22.6,21.3,24.6
2020-07-27,115,22.1,20.8,24.7
2020-07-27,119,24.6,22.6,27.1
2020-07-27,121,22.5,20.2,26.4
2020-07-27,127,23.4,21.1,27.2
2020-07-27,129,23.8,21.3,27
2020-07-27,130,20.6,19.8,23.7
2020-07-27,131,24.9,22.6,28.1
2020-07-27,102,21,19.3,23
2020-07-27,104,19.9,19.4,21.3
2020-07-27,105,20.8,20.3,21.9
2020-07-27,106,19.7,19.1,21.1
2020-07-27,108,24.3,22.9,25.5
2020-07-27,112,23.4,22.4,24.4
2020-07-27,114,24.6,22.1,27.5
2020-07-27,90,20.3,19.7,21.4
2020-07-27,93,22.3,21.2,23.8
2020-07-27,95,21.8,19.6,24.1
2020-07-27,98,22.5,20.6,25.1
2020-07-27,99,22.4,20.2,24.7
2020-07-27,100,17.9,17,19.2
2020-07-27,101,22.7,21.8,24.1
2020-07-28,165,25.2,22.5,27.9
2020-07-28,168,24.3,22.9,26.8
2020-07-28,133,24,21.7,26.9
2020-07-28,135,21.6,20.5,22.5
2020-07-28,136,22.1,20.7,24.2
2020-07-28,137,22,20.8,23
2020-07-28,138,21.6,21,22.6
2020-07-28,140,24.4,21.6,26.4
2020-07-28,143,22.3,21.3,24.2
2020-07-28,146,25.1,22.1,29
2020-07-28,115,21.9,21,23.3
2020-07-28,119,24.2,22.8,25.7
2020-07-28,121,22.5,20.2,26.3
2020-07-28,127,23.3,20.8,27
2020-07-28,129,24.1,22.3,26.7
2020-07-28,130,20.7,20,22.8
2020-07-28,131,24.7,21.9,27.4
2020-07-28,102,22.5,19.5,25.9
2020-07-28,104,20.4,19.5,21.8
2020-07-28,105,21.3,20.3,22.3
2020-07-28,106,19.8,19.3,21
2020-07-28,108,24.4,22.7,26.4
2020-07-28,112,24.3,22.9,25.7
2020-07-28,114,23.8,22.2,26.6
2020-07-28,90,21.3,20,23.8
2020-07-28,93,23.3,20,27.1
2020-07-28,95,23.7,20.1,27.7
2020-07-28,98,23.9,21.1,27.4
2020-07-28,99,24.2,21,27.8
2020-07-28,100,17.9,16.8,20.2
2020-07-28,101,23.8,21.1,27
2020-07-28,294,23.3,21.9,26.6
2020-07-28,295,25.2,22.1,29.4
2020-07-28,278,22.9,21.3,25.4
2020-07-28,279,22.7,21.4,24.5
2020-07-28,281,21.4,20.6,23
2020-07-28,283,21.6,20.8,23
2020-07-28,284,23,21.1,26.8
2020-07-28,285,23.1,21.3,25.3
2020-07-28,288,23.1,21.6,25
2020-07-28,289,24.2,21.4,28.2
2020-07-28,266,25.3,22.2,28.4
2020-07-28,268,25,22.1,27.8
2020-07-28,271,21,19.3,23.1
2020-07-28,272,21.5,20,23.4
2020-07-28,273,21.8,20.6,23.2
2020-07-28,276,21.5,20.1,24.8
2020-07-28,277,20.8,20,23.7
2020-07-28,258,26,23.2,28.5
2020-07-28,259,25.6,22.7,29
2020-07-28,260,25.2,23.2,27.7
2020-07-28,261,25.5,23.2,29.2
2020-07-28,262,25.7,23.2,28.4
2020-07-28,263,23.9,22.6,27.2
2020-07-28,264,24,21.6,29.1
2020-07-28,248,23.7,20.8,28
2020-07-28,251,25.3,21.7,28.7
2020-07-28,252,24.9,21.2,28.2
2020-07-28,253,23.3,21.8,25.4
2020-07-28,254,24.2,22.2,29.1
2020-07-28,255,25.4,24.1,28.3
2020-07-28,257,22.8,21.8,23.9
2020-07-28,236,24.3,21.8,26.8
2020-07-28,238,23.3,21.4,27.4
2020-07-28,239,23.9,21.4,26.6
2020-07-28,243,24.6,21.7,27.2
2020-07-28,244,23.7,21.4,27.4
2020-07-28,245,24.7,21.5,28.5
2020-07-28,247,24.6,22.4,30.5
2020-07-28,212,22.9,20.6,26.3
2020-07-28,216,18.9,17.6,20.8
2020-07-28,217,21.5,19.5,25
2020-07-28,221,22.4,20.1,25.5
2020-07-28,226,22.3,20.4,25.2
2020-07-28,232,23.5,21.6,25.9
2020-07-28,235,24.2,22,27
2020-07-28,188,26.4,23.8,29.3
2020-07-28,189,25.5,24.1,27.2
2020-07-28,192,24.4,22,28.9
2020-07-28,201,24.2,20.9,27.1
2020-07-28,202,23.4,21.6,25.2
2020-07-28,203,23.6,21.7,26.3
2020-07-28,211,22.6,19.7,27
2020-07-28,169,21.8,20.1,23.5
